category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags
,"['- Cook soaked peas until tender.', 'Heat oil, sauté onion, add tomatoes and spices.', 'Add cooked peas and some water. Simmer 10-15 minutes.', 'Finish with garam masala and cilantro.']",['Nepali'],https://images.unsplash.com/photo-1466637574441-749b8f19452f?w=800&q=80,"['1 cup black eyed peas (soaked)', '1 onion chopped', '2 tomatoes', '1 tsp turmeric', '1 tsp cumin', '1 tsp garam masala', '2 tbsp mustard oil', 'Salt', 'Cilantro']",35 minutes,Bodi Ko Tarkari,4 servings,"Vegetarian, Main Course"
,"['- Sauté onion in oil. Add tomatoes and spices.', 'Add peas and salt. Cook 8-10 minutes with little water.', 'Serve with roti or rice.']",['Nepali'],https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=800&q=80,"['2 cups fresh or frozen green peas', '1 onion', '2 tomatoes', '1 tsp cumin', '1 tsp turmeric', '1/2 tsp chili powder', '2 tbsp oil', 'Salt']",25 minutes,Kerau Ko Tarkari - Green Pea Curry,4 servings,"Vegetarian, Main Course"
,"['- Sauté onion, add tomatoes and spices.', 'Add boiled chickpeas and water. Simmer 10-15 minutes.', 'Garnish and serve.']",['Nepali'],https://images.unsplash.com/photo-1498837167922-ddd27525d352?w=800&q=80,"['1.5 cups chickpeas (soaked & boiled)', '1 onion', '2 tomatoes', '1 tsp turmeric', '1 tsp coriander', '1 tsp cumin', '2 tbsp oil', 'Salt', 'Cilantro']",30 minutes,Chana Ko Tarkari,4 servings,"Vegetarian, Main Course"
,['Follow similar method as recipe #3 with red lentils (cooks faster).'],['Nepali'],https://images.unsplash.com/photo-1567620832903-9fc6debc209f?w=800&q=80,"['1 cup red lentils', '1 onion', '2 tomatoes', '3 garlic cloves', '1 inch ginger', '1 tsp turmeric', '1 tsp cumin', '2 tbsp ghee', 'Salt']",30 minutes,Masoor Dal - Red Lentil Soup,4 servings,"Vegetarian, Soup"
,"['- Soak dal 30 minutes. Cook until soft.', 'Temper cumin in ghee, sauté onion, tomatoes and spices.', 'Mix with cooked dal and simmer. Garnish with cilantro.']",['Nepali'],https://images.unsplash.com/photo-1563379091054-1e4dddd2fbdc?w=800&q=80,"['1 cup chana dal (split chickpeas)', '1 onion', '2 tomatoes', '1 tsp turmeric', '1 tsp cumin', '2 tbsp ghee', 'Salt', 'Fresh cilantro']",40 minutes,Chana Dal,4 servings,"Vegetarian, Main Course"
,"['Rinse the mung beans until the water runs clear. In a pressure cooker or heavy pot, combine beans, water, turmeric, and salt; simmer until the lentils are completely soft. In a small skillet, heat ghee/oil and sauté cumin seeds, dried chilli, garlic, and ginger until fragrant and golden. Pour this tempering (tadka) over the cooked lentils, garnish with cilantro, and serve hot.']",['Nepali'],https://images.unsplash.com/photo-1551248429-40975aa4de74?w=800&q=80,"['1 cup split mung beans', '4 cups water', '1/2 teaspoon turmeric powder', '1 tablespoon ghee or mustard oil', '1/2 teaspoon cumin seeds', '2 cloves garlic (minced)', '1/2 inch ginger (grated)', '1/2 teaspoon kosher salt', '1 tablespoon chopped fresh cilantro', '1 dried red chilli']",10 minutes,Mung Dal (Yellow Lentil Soup),4 servings,"Vegetarian, Soup"
,"['Boil the urad dal with water, turmeric, and ginger paste until the lentils are tender and creamy. In a separate small pan, heat mustard oil or ghee until smoking. Add the jimbu (or cumin) and asafoetida. Once the herbs sizzle and turn dark, immediately pour the oil into the dal. Stir well and let it sit covered for 2 minutes before serving.']",['Nepali'],https://images.unsplash.com/photo-1603105037880-880cd4edfb0d?w=800&q=80,"['1 cup split black urad dal', '4 cups water', '1 teaspoon ginger paste', '1 tablespoon mustard oil', '1/2 teaspoon jimbu (dried Himalayan herb) or cumin seeds', '1/4 teaspoon asafoetida', '1/2 teaspoon kosher salt', '1/2 teaspoon turmeric powder', '1 tablespoon ghee']",15 minutes,Urad Dal (Black Lentil Soup),4 servings,"Vegetarian, Soup"
,"['Combine all washed lentils in a pot with water, salt, and turmeric; cook until mushy. In a pan, sauté onions, garlic, and green chilli in ghee until browned. Add tomatoes and cumin-coriander powder, cooking until the tomatoes soften. Mix the savory base into the boiled lentils and simmer for 5 minutes.']",['Nepali'],https://images.unsplash.com/photo-1542010589005-d1eaab3cbf88?w=800&q=80,"['1/4 cup each of mung, urad, masoor, chana, and toor dal', '5 cups water', '1 medium onion (finely chopped)', '2 medium tomatoes (halved)', '1 teaspoon turmeric', '1 teaspoon cumin-coriander powder', '2 tablespoons ghee', '1 teaspoon salt', '2 cloves garlic', '1 green chilli']",20 minutes,Mix Dal (Pancha Ratna Dal),6 servings,"Vegetarian, Main Course"
,"['Heat mustard oil in a ""karai"" (wok) until it reaches the smoking point to remove its rawness. Sauté fenugreek seeds until dark brown. Add vegetables and turmeric, stirring to coat. Sprinkle salt and cumin powder, add a splash of water, cover, and cook on low heat until the vegetables are tender.']",['Nepali'],https://images.unsplash.com/photo-1548940740-a09f9a3d09ce?w=800&q=80,"['4 cups assorted chopped seasonal vegetables', '3 tablespoons pure mustard oil', '1/2 teaspoon fenugreek seeds', '1/2 teaspoon turmeric powder', '1 teaspoon cumin powder', '1/2 teaspoon salt', '1/4 cup water']",10 minutes,Tarkari with Mustard Oil (Basic Vegetable Sauté),4 servings,"Vegetarian, Main Course"
,['Thoroughly wash the greens and chop them coarsely. Heat mustard oil and fry the dried chillies and garlic until they are nearly burnt (for aroma). Add the greens and salt. Sauté on high heat without covering until the greens wilt and the moisture evaporates.'],['Nepali'],https://images.unsplash.com/photo-1559058989-5d1e5e7f0bce?w=800&q=80,"['1 large bunch fresh leafy greens', '2 tablespoons mustard oil', '2 dried red chillies', '2 cloves garlic (sliced)', '1/4 teaspoon salt']",5 minutes,Sag (Stir-fried Green Leafy Vegetables),2 servings,"Vegetarian, Main Course"
,['Heat the oil in a pan until hot. Add fenugreek seeds and wait until they turn black. Add garlic and then the mustard greens. Sauté over medium-high heat. The mustard greens will release water; continue cooking until the water is gone and the leaves are tender and slightly crispy.'],['Nepali'],https://images.unsplash.com/photo-1571167541620-70f394f0d8e0?w=800&q=80,"['1 lb fresh mustard greens (chopped)', '2 tablespoons mustard oil', '1/2 teaspoon fenugreek seeds', '3 cloves garlic (crushed)', '1/2 teaspoon salt']",10 minutes,Rayo Ko Sag (Mustard Greens),3 servings,"Vegetarian, Main Course"
,['Heat ghee in a pan. Sauté cumin seeds until they pop. Add the spinach and salt. Cook quickly for 2–3 minutes until the spinach is just wilted. Sprinkle with a pinch of nutmeg for a traditional touch and serve immediately.'],['Nepali'],https://images.unsplash.com/photo-1555939594-77e04cd3ad8e?w=800&q=80,"['2 cups chopped fresh baby spinach (1 1/2 ounces)', '1 tablespoon ghee', '1/2 teaspoon cumin seeds', '1/4 teaspoon salt', '1 pinch nutmeg']",5 minutes,Palak Ko Sag (Spinach Sauté),3 servings,"Vegetarian, Main Course"
,"['Heat oil and sauté garlic and turmeric. Add the fresh methi leaves. Because methi can be bitter, sauté them on medium heat with salt until they are well-cooked and reduced. This is best served with hot rice or corn bread.']",['Nepali'],https://images.unsplash.com/photo-1600891964599-f61ba0e24092?w=800&q=80,"['2 cups fresh fenugreek leaves (cleaned)', '1 tablespoon mustard oil', '2 cloves garlic', '1/4 teaspoon turmeric', '1/2 teaspoon salt']",15 minutes,Methi Ko Sag (Fenugreek Greens),2 servings,"Vegetarian, Main Course"
,"['Heat oil and sauté the ginger-garlic paste. Add the hard vegetables (like potatoes) first, followed by the softer ones. Stir in the spices and salt. Add the tomato and a small amount of water. Cover and simmer until all vegetables are soft and the spices have formed a light coating.']",['Nepali'],https://images.unsplash.com/photo-1565299624946-b28f40a0ca4b?w=800&q=80,"['3 cups mixed local vegetables (potato, beans, cauliflower)', '2 tablespoons oil', '1 teaspoon ginger-garlic paste', '1 teaspoon cumin-coriander powder', '1/2 teaspoon red chilli powder', '1/2 teaspoon salt', '1 tomato (chopped)']",15 minutes,Bokshi Tarkari (Spiced Mixed Vegetable),4 servings,"Vegetarian, Main Course"
,"['Heat oil and fry fenugreek seeds. Add pumpkin cubes and turmeric, sautéing for 5 minutes. Add salt, sugar, and water. Cover and cook on low heat until the pumpkin is tender and starts to break down into a thick, sweet, and savory sauce.']",['Nepali'],https://images.unsplash.com/photo-1571167452520-0e1a4e6cb2d5?w=800&q=80,"['4 cups cubed pumpkin', '2 tablespoons mustard oil', '1/2 teaspoon fenugreek seeds', '1/2 teaspoon turmeric', '1 teaspoon sugar or jaggery', '1/2 teaspoon salt', '1/2 cup water']",10 minutes,Farsi Ko Tarkari (Pumpkin Curry),4 servings,"Vegetarian, Main Course"
,"['Heat ghee and sauté cumin seeds. Add the bottle gourd and turmeric. Bottle gourd has high water content, so cook it in its own juices with a lid on. Once soft, add salt and a splash of milk if a creamier texture is desired.']",['Nepali'],https://images.unsplash.com/photo-1565557623262-b51206e893e7?w=800&q=80,"['1 medium bottle gourd (peeled and cubed)', '1 tablespoon ghee', '1/2 teaspoon cumin seeds', '1/2 teaspoon turmeric', '1/2 teaspoon salt', '1/4 cup milk (optional for creaminess)']",15 minutes,Lauka Ko Tarkari,4 servings,"Vegetarian, Main Course"
,"['Fry the parwar and potatoes in oil until they begin to brown. Add turmeric, salt, and cumin powder. Add a few drops of water, cover, and steam until the vegetables are tender. This is a dry curry style.']",['Nepali'],https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=800&q=80,"['250g pointed gourd (sliced)', '2 medium potatoes (cubed)', '2 tablespoons oil', '1/2 teaspoon turmeric', '1 teaspoon cumin powder', '1/2 teaspoon salt']",15 minutes,Parwar Ko Tarkari (Pointed Gourd Curry),3 servings,"Vegetarian, Main Course"
,"['Heat oil and fry fenugreek seeds until dark. Sauté the ginger-garlic paste, then add eggplant and turmeric. Eggplant absorbs a lot of oil; stir frequently. Cook until the eggplant is very soft and mashed.']",['Nepali'],https://images.unsplash.com/photo-1567620905732-2d1ec7ab7445?w=800&q=80,"['2 large eggplants (cubed)', '3 tablespoons oil', '1/2 teaspoon fenugreek seeds', '1 tablespoon ginger-garlic paste', '1 teaspoon turmeric', '1/2 teaspoon salt']",10 minutes,Bhanta Ko Tarkari,3 servings,"Vegetarian, Main Course"
,"['Sauté potatoes in oil until half-cooked. Add cabbage and peas. Season with salt and turmeric. Cabbage cooks quickly, so sauté on medium-high heat to keep a slight crunch or cover for a softer texture.']",['Nepali'],https://images.unsplash.com/photo-1512058564366-18510be2db19?w=800&q=80,"['1 small cabbage (shredded)', '1 potato (thinly sliced)', '1/2 cup green peas', '2 tablespoons oil', '1/2 teaspoon turmeric', '1/2 teaspoon salt']",15 minutes,Bandakopi Ko Tarkari,4 servings,"Egg, Main Course"
,"['Heat oil and add cumin seeds. Sauté carrots and peas with turmeric and salt. Carrots are naturally sweet, so this dish is often kept simple to highlight the flavor. Cook until tender-crisp.']",['Nepali'],https://images.unsplash.com/photo-1574484284002-952d92456975?w=800&q=80,"['3 large carrots (sliced)', '1 tablespoon oil', '1/2 teaspoon cumin seeds', '1/4 teaspoon turmeric', '1/2 teaspoon salt', '1 tablespoon fresh peas']",10 minutes,Gajar Ko Tarkari,3 servings,"Vegetarian, Main Course"
,['Sauté the radish in mustard oil with fenugreek and spices. Radish has a strong aroma; cooking it thoroughly with spices mellows the flavor. Serve as a side dish with Dal Bhat.'],['Nepali'],https://images.unsplash.com/photo-1547592180-85f173990554?w=800&q=80,"['2 white radishes (sliced)', '1 tablespoon mustard oil', '1/2 teaspoon fenugreek seeds', '1/2 teaspoon turmeric', '1/2 teaspoon red chilli powder', '1/2 teaspoon salt']",15 minutes,Mula Ko Tarkari,3 servings,"Vegetarian, Main Course"
,"['Sauté cauliflower and potatoes in oil until lightly browned. Add turmeric, salt, and cumin powder. Add water, cover, and simmer until the cauliflower is soft but still holds its shape.']",['Nepali'],https://images.unsplash.com/photo-1596797038530-2c107229654b?w=800&q=80,"['1 medium head cauliflower (florets)', '2 potatoes (cubed)', '2 tablespoons oil', '1 teaspoon cumin powder', '1/2 teaspoon turmeric', '1/2 teaspoon salt', '1/2 cup water']",15 minutes,Kauli Ko Tarkari,4 servings,"Vegetarian, Main Course"
,['Heat oil and sauté the beans and potatoes. Add spices and salt. Cook covered on low heat. The beans will slowly caramelize with the potatoes for a hearty side dish.'],['Nepali'],https://images.unsplash.com/photo-1455619452474-d2be8b1ae538?w=800&q=80,"['2 cups green beans (trimmed and snapped)', '1 potato (cubed)', '2 tablespoons oil', '1/2 teaspoon turmeric', '1/2 teaspoon salt', '1 teaspoon coriander powder']",15 minutes,Simi Ko Tarkari,3 servings,"Vegetarian, Main Course"
,"['Peel the fibrous outer layer from the pumpkin stems. Chop the leaves and stems. Sauté garlic in oil, add the greens, salt, and turmeric. Cook until the stems are tender. This is a prized seasonal green in Nepal.']",['Nepali'],https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800&q=80,"['1 bunch tender pumpkin leaves and shoots', '2 tablespoons mustard oil', '3 cloves garlic', '1/2 teaspoon salt', '1/4 teaspoon turmeric']",20 minutes,Pharsee Saag (Pumpkin Shoots/Leaves),2 servings,"Vegetarian, Main Course"
,"['To reduce bitterness, rub slices with salt and let sit for 10 minutes, then squeeze out the juice. Fry the slices in hot oil until they are crispy and dark brown. Add turmeric and amchur at the end for a tangy finish.']",['Nepali'],https://images.unsplash.com/photo-1490645935967-10de6ba17061?w=800&q=80,"['3 bitter gourds (thinly sliced)', '3 tablespoons mustard oil', '1/2 teaspoon cumin seeds', '1/2 teaspoon turmeric', '1/2 teaspoon salt', '1/2 teaspoon amchur (dried mango powder)']",20 minutes,Tite Karela Ko Tarkari,3 servings,"Vegetarian, Main Course"
,"['Heat mustard oil in a pan until smoking. Add cumin seeds and let them splutter. Add onions, garlic, and ginger paste; sauté until golden. Add turmeric, chili powder, and tomatoes; cook until oil separates. Add chayote cubes and salt; stir well. Add 1 cup water, cover, and simmer until chayote is tender. Garnish with cilantro. Serve with rice or roti.']",['Nepali'],https://images.unsplash.com/photo-1540189549336-e6e99e49c67f?w=800&q=80,"['3 medium chayote squash (peeled and cubed)', '2 tablespoons mustard oil', '1 teaspoon cumin seeds', '1 medium onion (finely chopped)', '2 cloves garlic (minced)', '1 teaspoon ginger paste', '1 teaspoon turmeric powder', '1 teaspoon red chili powder', '2 medium tomatoes (chopped)', '1 teaspoon salt (or to taste)', '2 tablespoons fresh cilantro (chopped)']",15 minutes,Iskus Ko Tarkari (Chayote Curry),4 servings,"Vegetarian, Main Course"
,"['Heat oil, add fenugreek and cumin seeds. When they darken, add onion and green chilies; sauté until soft. Add turmeric, chili powder, salt, and pumpkin; stir for 2 minutes. Add water, cover, and cook until pumpkin is soft. Mash slightly for thicker curry. Garnish with cilantro.']",['Nepali'],https://images.unsplash.com/photo-1476224203421-74177f9f4a76?w=800&q=80,"['2 cups pumpkin (peeled and cubed)', '2 tablespoons mustard oil', '1 teaspoon fenugreek seeds', '1 teaspoon cumin seeds', '1 onion (sliced)', '2 green chilies (slit)', '1 teaspoon turmeric powder', '1 teaspoon red chili powder', '1 teaspoon salt', '1 cup water', '2 tablespoons fresh cilantro']",10 minutes,Pharsi Ko Tarkari (Pumpkin Curry),4 servings,"Vegetarian, Main Course"
,"['Heat oil, add okra pieces and fry on medium heat until slime disappears (about 5–7 minutes). Remove okra. In same oil, add cumin seeds, then onion and ginger-garlic paste; sauté until golden. Add turmeric, coriander, chili powder, salt, and tomato; cook until tomato softens. Return okra, add amchur, mix gently. Cook 2 more minutes. Serve with chapati or rice.']",['Nepali'],https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=800&q=80,"['500g okra (washed, dried, and sliced into 1-inch pieces)', '3 tablespoons mustard oil', '1 teaspoon cumin seeds', '1 onion (finely chopped)', '1 teaspoon ginger-garlic paste', '1 teaspoon turmeric powder', '1 teaspoon coriander powder', '1/2 teaspoon red chili powder', '1 teaspoon salt', '1 tomato (chopped)', '1 teaspoon dried mango powder (amchur)']",10 minutes,Bhindi Ko Tarkari (Okra Curry),4 servings,"Vegetarian, Main Course"
,"['Heat oil, add dried red chili and garlic slices; fry until garlic is golden. Add water spinach, turmeric, salt, and sugar. Stir-fry on high heat for 3–4 minutes until leaves wilt but stems are still crunchy. Serve immediately as a side dish.']",['Nepali'],https://images.unsplash.com/photo-1482049016688-2d3e1b311543?w=800&q=80,"['2 bunches water spinach (kangkong, chopped into 2-inch pieces)', '2 tablespoons mustard oil', '3 cloves garlic (sliced)', '1 dried red chili', '1/2 teaspoon turmeric powder', '1/2 teaspoon salt', '1/4 teaspoon sugar']",10 minutes,Kangkong Ko Tarkari (Water Spinach Curry),3 servings,"Vegetarian, Main Course"
,"['Heat oil, add fenugreek seeds and dried chilies until seeds darken. Add turmeric, ginger paste, and bamboo shoots; sauté for 5 minutes. Add water and salt, bring to boil. Reduce heat and simmer for 20 minutes until shoots are tender and sourness mellows. Garnish with cilantro. Serve with rice.']",['Nepali'],https://images.unsplash.com/photo-1473093295043-cdd812d0e601?w=800&q=80,"['2 cups fermented bamboo shoots (tama, rinsed and drained)', '2 tablespoons mustard oil', '1 teaspoon fenugreek seeds', '2 dried red chilies', '1 teaspoon turmeric powder', '1 teaspoon ginger paste', '1 teaspoon salt', '2 cups water', '2 tablespoons fresh cilantro']",20 minutes (plus soaking time if using dried shoots),Tama Ko Tarkari (Bamboo Shoot Curry),4 servings,"Vegetarian, Main Course"
