category,cooking_method,cuisine,image,ingredients,prep_time,recipe_name,serves,tags
,"['Dry roast soybeans in a pan until crispy, let cool.', 'In a bowl, mix chopped onions, tomatoes, and green chilies.', 'Add turmeric, salt, and lemon juice.', 'Add roasted soybeans and mix well.', 'Add mustard oil and coriander, toss everything together.', 'Let it sit for 10 minutes for flavors to meld.', 'Serve as a snack or side dish.']",['Nepali'],https://www.facebook.com/61560243633941/posts/bhatmas-sadeko-nepali-soybean-salad-an-authentic-nepali-appetizer-come-indulge-i/122148479228341454/,"['2 cups roasted soybeans', '1 onion, finely chopped', '2 tomatoes, finely chopped', '2 green chilies, chopped', '1/4 cup fresh coriander, chopped', '1 tablespoon mustard oil', '1 teaspoon turmeric powder', '1 tablespoon lemon juice', 'Salt to taste']",20 minutes,Bhatmas Sadheko,4 servings,"Vegetarian, Snack, Protein Rich, Quick"
,"['Soak mixed beans overnight (at least 8 hours).', 'Drain and rinse the beans thoroughly.', 'Pressure cook beans with water until soft.', 'In a separate pot, heat ghee and sauté onions until golden.', 'Add garlic, ginger, and spices, cook for 2 minutes.', 'Add cooked beans with their water.', 'Simmer for 30 minutes until soup thickens.', 'Adjust seasoning and serve hot.']","['Nepali', 'Newari']",https://www.foodpleasureandhealth.com/nepali-kwati-sprouted-9-bean-soup/,"['1 cup mixed beans (9 types traditionally)', '1 onion, chopped', '3 cloves garlic, minced', '1 inch ginger, grated', '1 teaspoon turmeric', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '2 tablespoons ghee', 'Salt to taste', '6 cups water']",Overnight,Kwati,6 servings,"Vegetarian, Festive, Soup, Traditional"
,"['Mix rice flour and lentil flour with water to make thin batter.', 'Add salt and let batter rest for 30 minutes.', 'Sauté meat/paneer with onions, cumin, and green chilies.', 'Heat a non-stick pan, pour a ladle of batter to make thin crepe.', 'Spread meat mixture on top, crack an egg over it.', 'Cover and cook on low heat until egg sets.', 'Drizzle oil around edges, cook until crispy.', 'Serve hot with pickle or chutney.']","['Nepali', 'Newari']",https://blogs.baruch.cuny.edu/ldhyolmo/?p=160,"['2 cups rice flour', '1/2 cup lentil flour', '200g ground meat (chicken/buff) or paneer', '1 onion, finely chopped', '2 eggs', '1 teaspoon cumin powder', '2 green chilies, chopped', '2 tablespoons oil', 'Salt to taste', 'Water as needed']",40 minutes,Chatamari,4 servings,"Non-Vegetarian, Street Food, Breakfast, Traditional"
,"['Cook rice and dal separately.', 'Prepare meat curry with traditional Thakali spices.', 'Make aloo tama (potato bamboo shoot curry).', 'Prepare seasonal vegetable curry.', 'Make gundruk or sinki ko achar.', 'Arrange all dishes on a large platter.', 'Serve with generous amount of ghee on dal.', 'Include various pickles on the side.']","['Nepali', 'Thakali']",https://recipes.timesofindia.com/articles/food-trips/flavours-of-thakali-khana/articleshow/82048030.cms,"['1 cup rice', '1 cup black lentil (maas ko dal)', '500g goat meat', '2 potatoes', '1 cauliflower', '1 radish', '2 tomatoes', 'Assorted pickles (timur ko achar, gundruk ko achar)', 'Ghee, spices']",60 minutes,Thakali Khana Set,4 servings,"Non-Vegetarian, Traditional, Complete Meal, Festive"
,"['Prepare spiced water with mint, tamarind, and spices.', 'Make a hole in each puri.', 'Fill with mashed potatoes and chickpeas.', 'Add chopped onions and chaat masala.', 'Dip in spiced water and eat immediately.', 'Alternatively, serve with separate chutneys.', 'Can be assembled by eater or pre-filled.']","['Nepali', 'Indian']",https://recipes.timesofindia.com/recipes/pani-puri/rs61048461.cms,"['20 puris (store-bought or homemade)', '2 cups boiled chickpeas', '2 potatoes, boiled and mashed', '1 cup tamarind chutney', '1 cup mint-coriander chutney', '1 teaspoon roasted cumin powder', '1 teaspoon chaat masala', 'Spiced water (pani)', 'Chopped onions']",30 minutes,Panipuri,4 servings,"Vegetarian, Street Food, Snack, Popular"
,"['Wash rice and soak for 30 minutes, then drain.', 'Boil milk in a heavy-bottomed pan.', 'Add rice and simmer on low heat, stirring frequently.', 'Cook until rice is soft and mixture thickens (about 30 minutes).', 'Add sugar and cardamom powder, mix well.', 'In a small pan, heat ghee and fry nuts until golden.', 'Add fried nuts and raisins to kheer.', 'Serve warm or chilled, garnished with saffron.']",['Nepali'],https://www.indianhealthyrecipes.com/rice-kheer-recipe-chawal-ki-kheer/,"['1 liter full-fat milk', '1/2 cup rice', '1/2 cup sugar', '1/4 cup chopped nuts (almonds, cashews)', '1/4 cup raisins', '1 teaspoon cardamom powder', '1 tablespoon ghee', 'Saffron strands (optional)']",45 minutes,Kheer,6 servings,"Vegetarian, Dessert, Festive, Sweet"
,"['Make dough with flour, salt, and oil, rest for 30 minutes.', 'Boil potatoes and peas, mash coarsely.', 'Sauté cumin seeds, add spices and potato mixture.', 'Roll dough into circles, cut in half.', 'Form cones, fill with potato mixture, seal edges.', 'Heat oil, fry samosas until golden brown.', 'Drain on paper towels.', 'Serve hot with tamarind chutney.']",['Nepali'],https://recipes.timesofindia.com/recipes/samosa/rs61050397.cms,"['2 cups all-purpose flour', '4 potatoes, boiled and mashed', '1 cup green peas', '1 teaspoon cumin seeds', '1 teaspoon garam masala', '1 teaspoon amchur (dry mango powder)', 'Oil for deep frying', 'Salt to taste']",50 minutes,Samosa,6 servings,"Vegetarian, Snack, Tea Time, Popular"
,"['Cook noodles according to package instructions, drain.', 'In a pot, sauté onion, garlic, and ginger.', 'Add chicken/vegetables and cook until done.', 'Add vegetables and stir-fry for 2-3 minutes.', 'Pour in broth, bring to boil.', 'Add soy sauce and seasoning.', 'Add cooked noodles to serving bowls.', 'Ladle hot soup over noodles, garnish and serve.']","['Nepali', 'Tibetan']",https://www.foodnetwork.com/recipes/maneet-chauhan/thukpa-9380101,"['200g noodles', '200g chicken or vegetables', '1 onion, sliced', '2 carrots, julienned', '1 bell pepper, sliced', '2 cloves garlic, minced', '1 inch ginger, grated', '1 tablespoon soy sauce', '6 cups chicken or vegetable broth', 'Spring onions for garnish']",40 minutes,Thukpa,4 servings,"Non-Vegetarian, Soup, Comfort Food, Noodles"
,"['Marinate mutton with yogurt and half the spices for 2 hours.', 'Heat oil, sauté onions until golden brown.', 'Add ginger-garlic paste, cook for 2 minutes.', 'Add tomato puree and remaining spices, cook until oil separates.', 'Add marinated mutton, cook on high heat for 5 minutes.', 'Add water, cover and simmer until mutton is tender (45-60 mins).', 'Adjust seasoning, garnish with coriander.', 'Serve hot with rice or roti.']",['Nepali'],https://recipes.timesofindia.com/recipes/punjabi-mutton-curry/rs63201465.cms,"['1 kg mutton, cut into pieces', '3 onions, finely chopped', '3 tomatoes, pureed', '2 tablespoons ginger-garlic paste', '2 teaspoons coriander powder', '1 teaspoon cumin powder', '1 teaspoon turmeric', '1 teaspoon red chili powder', '1/2 cup yogurt', '2 tablespoons oil', 'Fresh coriander for garnish']",90 minutes,Mutton Curry,6 servings,"Non-Vegetarian, Main Course, Spicy, Traditional"
,"['Blend yogurt, water, and sugar until smooth.', 'Add cardamom powder and blend again.', 'Add ice cubes and blend briefly.', 'Pour into tall glasses.', 'Garnish with chopped pistachios.', 'Optional: Add a drop of rose water.', 'Serve immediately.']",['Nepali'],https://www.indianhealthyrecipes.com/lassi-recipe/,"['2 cups yogurt', '1 cup cold water', '4 tablespoons sugar', '1/2 teaspoon cardamom powder', 'Ice cubes', 'Chopped pistachios for garnish', 'Rose water (optional)']",10 minutes,Lassi,2 servings,"Vegetarian, Drink, Refreshing, Summer"
,"['Soak lentils and rice separately overnight.', 'Drain and grind to make thick batter.', 'Add turmeric, cumin, and salt to batter.', 'Mix in chopped onions and green chilies.', 'Heat oil in a pan.', 'Pour ladle of batter, spread to make pancake.', 'Fry until golden brown on both sides.', 'Serve hot with spicy potato curry or chutney.']","['Nepali', 'Newari']",https://www.food.com/recipe/nepali-bara-527173,"['2 cups black lentils', '1/2 cup rice', '1 onion, finely chopped', '2 green chilies, chopped', '1 teaspoon turmeric', '1 teaspoon cumin powder', 'Oil for frying', 'Salt to taste']",Overnight,Bara,6 servings,"Vegetarian, Snack, Traditional, Protein Rich"
,"['Clean fish, cut into pieces, marinate with turmeric and salt.', 'Heat mustard oil until smoking, then cool slightly.', 'Add fenugreek seeds, let them splutter.', 'Add onion paste, cook until golden.', 'Add ginger-garlic paste and spices, cook for 2 minutes.', 'Add tomato puree, cook until oil separates.', 'Add water, bring to boil, then simmer for 10 minutes.', 'Add fish pieces, cook gently for 8-10 minutes.', 'Garnish with coriander, serve with rice.']",['Nepali'],https://vismaifood.com/en/chettinad-fish-stew-south-indian-chettinad-fish-gravy-how-make-chettinad-fish-curry,"['500g fish (rohu or catfish)', '2 onions, ground to paste', '2 tomatoes, pureed', '1 tablespoon ginger-garlic paste', '1 teaspoon turmeric', '1 teaspoon cumin powder', '1 teaspoon coriander powder', '1/2 teaspoon fenugreek seeds', '2 tablespoons mustard oil', 'Fresh coriander for garnish']",40 minutes,Fish Curry,4 servings,"Non-Vegetarian, Main Course, Coastal Style, Spicy"
,"['Wash and soak rice for 30 minutes.', 'Heat ghee, add whole spices, sauté until fragrant.', 'Add onions, cook until golden brown.', 'Add ginger-garlic paste, cook for 2 minutes.', 'Add meat, brown on all sides.', 'Add tomatoes and spices, cook until oil separates.', 'Add rice and water (1:2 ratio).', 'Cook on low heat until rice and meat are done.', 'Garnish with coriander and mint, serve hot.']",['Nepali'],https://www.instagram.com/p/CSGToWEFIx_/,"['2 cups basmati rice', '500g goat meat', '2 onions, sliced', '3 tomatoes, chopped', '2 tablespoons ginger-garlic paste', 'Whole spices (cinnamon, cardamom, cloves)', '2 tablespoons ghee', 'Fresh coriander and mint']",60 minutes,Masu Bhat,4 servings,"Non-Vegetarian, Main Course, One Pot Meal, Festive"
,"['Wash and soak rice for 20 minutes.', 'Heat ghee, add whole spices and cumin seeds.', 'Add onions, fry until golden brown.', 'Add vegetables, sauté for 3-4 minutes.', 'Drain rice and add to pot, stir gently.', 'Add hot broth and salt.', 'Bring to boil, then reduce heat to low.', 'Cover and cook until rice is done (15-20 mins).', 'Fluff with fork before serving.']",['Nepali'],https://loccalbawarchi.wordpress.com/2012/11/08/vegetable-pulau-recipe/,"['2 cups basmati rice', '1 cup mixed vegetables (peas, carrots, beans)', '1 onion, thinly sliced', '2 tablespoons ghee', 'Whole spices (bay leaf, cinnamon, cardamom)', '1 teaspoon cumin seeds', '4 cups vegetable broth', 'Salt to taste']",40 minutes,Pulao,6 servings,"Vegetarian, Main Course, Mild, Festive"
,"['Mix besan with salt, ajwain, and baking soda.', 'Add water gradually to make thick batter.', 'Add sliced vegetables and green chilies to batter.', 'Heat oil in a deep pan.', 'Drop spoonfuls of batter into hot oil.', 'Fry until golden brown and crispy.', 'Drain on paper towels.', 'Serve hot with mint chutney or tomato ketchup.']",['Nepali'],https://www.dwarakaorganic.com/recipes/onion-pakoda/,"['2 cups besan (gram flour)', '2 potatoes, thinly sliced', '1 onion, thinly sliced', '2 green chilies, chopped', '1 teaspoon ajwain (carom seeds)', '1/2 teaspoon baking soda', 'Water as needed', 'Oil for deep frying']",25 minutes,Pakoda,4 servings,"Vegetarian, Snack, Monsoon Favorite, Quick"
,"['Bring milk to boil, add lemon juice to curdle.', 'Strain through muslin cloth, wash under cold water.', 'Knead paneer until smooth, make small balls.', 'Make sugar syrup with water and sugar.', 'Add cardamom and saffron to syrup.', 'Gently add paneer balls to simmering syrup.', 'Cook covered for 15-20 minutes.', 'Chill before serving, garnish with nuts.']",['Nepali'],https://nepalemarket.com/blogs/mittho-parikar/mittho-rasbari?srsltid=AfmBOopyplAKZdBFz-itKK4ShOCjMyrnyqYA9TYA9GBIXXZatS136IEW,"['1 liter milk', '2 tablespoons lemon juice or vinegar', '1 cup sugar', '2 cups water', '1 teaspoon cardamom powder', 'Chopped nuts for garnish', 'Saffron strands']",90 minutes,Rasbari,8 servings,"Vegetarian, Dessert, Sweet, Festive"
,"['Marinate meat with all spices and oil overnight.', 'Spread meat slices on drying rack.', 'Sun dry for 2-3 days until completely dry.', 'Store in airtight container.', 'To serve: Deep fry until crispy.', 'Alternatively, roast over charcoal.', 'Serve as snack with beaten rice or as side dish.']",['Nepali'],https://www.tasteatlas.com/sukuti,"['500g buffalo meat, thinly sliced', '2 tablespoons mustard oil', '1 tablespoon ginger-garlic paste', '1 teaspoon turmeric', '1 teaspoon chili powder', '1 teaspoon timur (Sichuan pepper)', 'Salt to taste']",Overnight,Sukuti,6 servings,"Non-Vegetarian, Preserved Food, Snack, Traditional"
,"['Mix flour, sugar, and spices in a bowl.', 'Add mashed banana and milk to make thick batter.', 'Let batter rest for 30 minutes.', 'Heat ghee in a pan.', 'Pour ladle of batter to make small pancakes.', 'Fry until golden brown on both sides.', 'Drain excess ghee.', 'Serve warm, garnished with nuts and sugar syrup.']",['Nepali'],https://www.indianhealthyrecipes.com/easy-malpua-recipe/,"['2 cups all-purpose flour', '1 cup milk', '1/2 cup sugar', '1/2 cup mashed banana', '1 teaspoon fennel seeds', '1/2 teaspoon cardamom powder', 'Ghee for frying', 'Chopped nuts for garnish']",40 minutes,Malpuwa,6 servings,"Vegetarian, Dessert, Sweet, Festive"
,"['Use fresh, high-quality minced meat.', 'In a bowl, mix meat with ginger and garlic paste.', 'Add timur powder and salt, mix well.', 'Add mustard oil and bone marrow, mix thoroughly.', 'Add chopped green chilies.', 'Knead the mixture for 5-10 minutes until sticky.', 'Form into patties or serve as is.', 'Serve immediately with beaten rice.']","['Nepali', 'Newari']",https://in.pinterest.com/pin/asian-roots--743234744781618220/,"['500g raw minced buffalo meat', '2 tablespoons mustard oil', '1 tablespoon ginger paste', '1 tablespoon garlic paste', '2 green chilies, finely chopped', '1 teaspoon timur (Sichuan pepper)', '1/2 cup bone marrow (optional)', 'Salt to taste']",30 minutes,Kachila,4 servings,"Non-Vegetarian, Traditional, Raw Meat, Newari"
,"['Marinate meat with yogurt and half the spices for 2 hours.', 'Heat mustard oil until smoking, then cool slightly.', 'Add whole spices, sauté until fragrant.', 'Add onion paste, cook until dark brown.', 'Add ginger-garlic paste, cook for 2 minutes.', 'Add marinated meat, cook on high heat for 5 minutes.', 'Add water, cover and simmer until meat is tender.', 'Garnish with fresh coriander, serve hot.']",['Nepali'],http://nepalitummy.blogspot.com/2016/10/super-easy-khasi-ko-bhuteko-masu-recipe.html,"['500g goat meat', '2 onions, ground to paste', '2 tablespoons mustard oil', '2 tablespoons yogurt', '1 tablespoon ginger-garlic paste', 'Whole spices (bay leaf, cinnamon, cardamom)', 'Fresh coriander for garnish']",60 minutes,Bhatti Ko Masu,4 servings,"Non-Vegetarian, Spicy, Main Course, Traditional"
,"['Boil potatoes until just cooked, cube them.', 'Dry roast sesame seeds until golden, grind coarsely.', 'Heat mustard oil, add mustard seeds and red chilies.', 'When seeds splutter, add turmeric and turn off heat.', 'Add this tempering to potatoes.', 'Add ground sesame seeds and lemon juice.', 'Mix gently, adjust seasoning.', 'Garnish with coriander, serve at room temperature.']",['Nepali'],https://www.storyofakitchen.com/vegetable-recipes/aloo-ko-achar-nepali-pickled-potatoes-recipe/,"['6 potatoes, boiled and cubed', '2 tablespoons sesame seeds', '1 tablespoon mustard seeds', '2 dried red chilies', '1 teaspoon turmeric', '2 tablespoons mustard oil', '1 tablespoon lemon juice', 'Fresh coriander for garnish']",25 minutes,Aloo Achar,6 servings,"Vegetarian, Side Dish, Pickle, Traditional"
,"['Roast tomatoes directly over flame until charred.', 'Alternatively, roast in oven at high heat.', 'Let tomatoes cool, then peel off skin.', 'Mash tomatoes roughly with fork.', 'Add chopped onions, green chilies, and coriander.', 'Add timur powder and salt.', 'Add mustard oil, mix well.', 'Let it sit for 15 minutes before serving.']",['Nepali'],https://www.thegundruk.com/golbheda-ko-achaar-tomato-chutney/,"['4 tomatoes', '2 onions, finely chopped', '2 green chilies, chopped', '1/4 cup fresh coriander, chopped', '1 tablespoon mustard oil', '1 teaspoon timur (Sichuan pepper)', 'Salt to taste']",20 minutes,Golbheda Ko Achar,4 servings,"Vegetarian, Side Dish, Spicy, Traditional"
,"['Soak lentils and rice separately overnight.', 'Drain and grind to make thick batter.', 'Add spices and salt to batter, let ferment for 6 hours.', 'Spread batter thinly on oiled plate.', 'Sprinkle minced meat on top.', 'Steam for 15-20 minutes until set.', 'Cut into pieces, brush with egg and mustard oil.', 'Pan fry until crispy on both sides.']","['Nepali', 'Newari']",https://example.com/wo.jpg,"['2 cups black lentils', '1/2 cup rice', '1/2 cup minced meat (buffalo)', '1 egg', '2 tablespoons mustard oil', 'Spices (cumin, turmeric, chili powder)', 'Oil for frying']",Overnight,Wo,8 servings,"Non-Vegetarian, Traditional, Newari, Snack"
,"['Separate onion slices into rings.', 'Mix besan, rice flour, and spices.', 'Add water to make thick batter.', 'Add onion rings to batter, coat well.', 'Heat oil in deep pan.', 'Drop coated onion rings into hot oil.', 'Fry until golden brown and crispy.', 'Drain on paper towels, serve hot.']",['Nepali'],https://www.thespiceodyssey.com/food/piyaju,"['4 large onions, thinly sliced', '1 cup besan (gram flour)', '1/2 cup rice flour', '1 teaspoon ajwain (carom seeds)', '1 teaspoon chili powder', 'Water as needed', 'Oil for deep frying']",30 minutes,Piazu,4 servings,"Vegetarian, Snack, Onion Fritters, Street Food"
,"['Make dough with flour and water, rest for 30 minutes.', 'Roll dough thin, cut into strips, then tear into pieces.', 'Sauté garlic, add meat/vegetables and cook.', 'Add vegetables and stir-fry for 3 minutes.', 'Add broth and bring to boil.', 'Add dough pieces, cook until they float.', 'Add soy sauce and seasoning.', 'Garnish with spring onions, serve hot.']","['Nepali', 'Tibetan']",https://www.thegundruk.com/thenthuk-typical-himalayan-tibetan-noodle-soup/,"['2 cups all-purpose flour', '200g beef or vegetables', '2 carrots, sliced', '1 daikon radish, sliced', '2 cloves garlic, minced', '1 tablespoon soy sauce', '6 cups broth', 'Spring onions for garnish']",50 minutes,Thenthuk,4 servings,"Non-Vegetarian, Soup, Hand-pulled Noodles, Winter"
,"['Mix flour, yogurt, and baking soda to make thick batter.', 'Let batter rest for 30 minutes.', 'Make sugar syrup with water and sugar, add cardamom.', 'Heat oil in deep pan.', 'Fill piping bag with batter.', 'Pipe spiral shapes directly into hot oil.', 'Fry until golden brown and crispy.', 'Dip in warm syrup for few seconds, drain excess.']",['Nepali'],https://www.kasthamandapbhandar.com/products/jeri,"['2 cups all-purpose flour', '1 cup yogurt', '1/2 teaspoon baking soda', '2 cups sugar', '1 cup water', 'Oil for deep frying', 'Cardamom powder for syrup']",40 minutes,Jeri,8 servings,"Vegetarian, Dessert, Sweet, Festive"
,"['Hang yogurt in muslin cloth for 2 hours to drain water.', 'Beat thickened yogurt until smooth.', 'Add sugar and cardamom powder, mix well.', 'Add chopped nuts and raisins.', 'Add saffron milk for color and flavor.', 'Chill for at least 2 hours.', 'Garnish with more nuts and dried fruits.', 'Serve chilled as dessert.']",['Nepali'],https://www.foodpleasureandhealth.com/sikarni-nepali-style-whipped-yogurt-with-cardamom/,"['4 cups thick yogurt', '1/2 cup sugar', '1/4 cup chopped nuts (almonds, pistachios)', '1/4 cup raisins', '1 teaspoon cardamom powder', 'Saffron strands soaked in milk', 'Dried fruits for garnish']",20 minutes + chilling,Sikarni,6 servings,"Vegetarian, Dessert, Yogurt Based, Summer"
,"['Marinate pork with all ingredients overnight.', 'Soak bamboo skewers in water for 30 minutes.', 'Thread marinated pork onto skewers.', 'Grill over charcoal until cooked and charred.', 'Brush with mustard oil while grilling.', 'Alternatively, bake in oven at 200°C for 20-25 mins.', 'Serve hot with onion rings and lemon wedges.']",['Nepali'],https://cookpad.com/eng/recipes/1819327,"['500g pork, cut into cubes', '2 tablespoons mustard oil', '1 tablespoon ginger-garlic paste', '1 tablespoon soy sauce', '1 teaspoon timur (Sichuan pepper)', '1 teaspoon chili powder', '1 tablespoon vinegar', 'Bamboo skewers']",Overnight,Pork Sekuwa,4 servings,"Non-Vegetarian, BBQ, Appetizer, Spicy"
